order_id,customer_id,product_id,quantity,unit_price,order_date,status,total_value,name,state,category,gross_margin,order_year,order_month,gross_profit
DF4139FA-E84,17C4D471,PROD-0089,1,53.26,2026-01-06 01:42:42,completed,53.26,Ísis Novais,PR,Esportes,0.2987,2026,1,15.91
6FF50F03-87C,F54C44FA,PROD-0037,4,406.89,2025-07-19 14:53:19,completed,1627.56,Sr. Antony Pires,PE,Eletrônicos,0.426,2025,7,693.34
CC1656C2-A4E,A7A25DB2,PROD-0088,5,194.18,2025-12-23 18:33:48,cancelled,970.9,Valentim Camargo,SC,Esportes,0.3306,2025,12,320.98
1345A80F-792,0CE39142,PROD-0026,2,1064.13,2025-06-30 13:39:41,cancelled,2128.26,Sabrina Fogaça,SP,Eletrônicos,0.6372,2025,6,1356.13
24CC4B0B-7C9,24C66978,PROD-0020,2,73.64,2026-01-31 13:00:06,completed,147.28,Zoe Machado,SP,Casa & Jardim,0.4113,2026,1,60.58
F43E182A-23A,25DD5752,PROD-0008,5,334.5,2025-10-03 13:48:05,cancelled,1672.5,Theodoro Garcia,SP,Esportes,0.4168,2025,10,697.1
2C0C56C2-E6B,5C5FBDBB,PROD-0073,1,208.8,2025-07-13 12:24:16,pending,208.8,Ryan Costela,PR,Roupas,0.4507,2025,7,94.11
A45B1CAF-2B2,DC79435A,PROD-0089,3,53.26,2025-07-18 16:43:08,shipped,159.78,Leonardo Cirino,RJ,Esportes,0.2987,2025,7,47.73
09D54EDC-540,9EB077C1,PROD-0070,5,811.0,2026-02-21 16:41:26,completed,4055.0,Isadora Santos,CE,Esportes,0.5543,2026,2,2247.69
B90EC7A8-641,2F2CDC5F,PROD-0056,3,428.84,2025-07-04 15:53:55,completed,1286.52,Maria Júlia Correia,BA,Esportes,0.5876,2025,7,755.96
8FE2DC4C-B80,CF9E4C0D,PROD-0012,5,583.19,2025-07-10 05:04:21,shipped,2915.95,Sra. Maria Sophia Souza,RJ,Eletrônicos,0.5183,2025,7,1511.34
3A213C79-1D2,71422632,PROD-0003,3,1002.23,2026-02-11 23:28:13,shipped,3006.69,Dra. Letícia Das Neves,BA,Roupas,0.5908,2026,2,1776.35
04AD3823-D1F,16AB4380,PROD-0006,4,772.55,2025-09-30 16:52:42,shipped,3090.2,Benjamim Aparecida,RJ,Esportes,0.5011,2025,9,1548.5
7ED85686-4B8,0B8E9B8A,PROD-0084,2,79.51,2025-04-30 10:33:34,shipped,159.02,Fernando Montenegro,PE,Casa & Jardim,0.5977,2025,4,95.05
3977AB77-D31,FA2824B3,PROD-0056,1,428.84,2026-03-10 00:59:12,pending,428.84,Lunna Gomes,SP,Esportes,0.5876,2026,3,251.99
9AF4B934-2FA,D39D8133,PROD-0045,1,473.4,2026-03-23 15:56:54,completed,473.4,Bruno Moraes,CE,Roupas,0.3398,2026,3,160.86
DED81845-E18,6250B65A,PROD-0043,3,100.63,2025-07-06 13:29:38,cancelled,301.89,Kaique Viana,RS,Eletrônicos,0.6127,2025,7,184.97
48678E02-247,D2B44EA6,PROD-0052,1,827.9,2025-12-28 08:55:36,pending,827.9,Melina Porto,SP,Eletrônicos,0.5665,2025,12,469.01
AE9D6DE7-36B,7CA2680F,PROD-0012,1,583.19,2025-12-22 11:58:32,pending,583.19,Erick Farias,RJ,Eletrônicos,0.5183,2025,12,302.27
2743B436-693,C094E269,PROD-0066,5,907.35,2025-07-19 14:43:41,pending,4536.75,José Siqueira,RJ,Roupas,0.5303,2025,7,2405.84
DB5885AA-44D,CD3A4133,PROD-0053,3,613.06,2025-10-07 22:22:52,shipped,1839.18,Pedro Lucas Câmara,BA,Roupas,0.3212,2025,10,590.74
38A7D759-21D,49934CE0,PROD-0097,1,1397.96,2025-06-21 05:29:11,completed,1397.96,Melissa Fogaça,SC,Eletrônicos,0.6565,2025,6,917.76
6EA6A76C-6EA,98284A4A,PROD-0035,3,1025.64,2025-09-20 09:22:23,pending,3076.92,Theodoro Sá,BA,Livros,0.5574,2025,9,1715.08
70319994-459,8C4AA454,PROD-0090,5,493.21,2025-05-19 22:18:47,completed,2466.05,Cecilia Rocha,RS,Eletrônicos,0.3581,2025,5,883.09
B6D70A9B-275,82EEA549,PROD-0091,1,587.34,2025-05-12 02:53:42,shipped,587.34,João Montenegro,CE,Casa & Jardim,0.3079,2025,5,180.84
007FE014-F61,D74CC506,PROD-0053,1,613.06,2025-12-29 15:53:24,pending,613.06,Cecilia Souza,PR,Roupas,0.3212,2025,12,196.91
85379DA5-B06,1FFA7A10,PROD-0016,4,1282.35,2025-06-14 05:49:11,cancelled,5129.4,Pedro Miguel Siqueira,SC,Esportes,0.646,2025,6,3313.59
D0E2D1EA-CB1,DC5A37CF,PROD-0038,4,309.97,2025-09-01 23:37:37,pending,1239.88,Bianca Da Costa,BA,Esportes,0.4611,2025,9,571.71
88DAE011-CE6,82EEA549,PROD-0061,2,362.94,2026-02-02 21:44:49,pending,725.88,João Montenegro,CE,Livros,0.6179,2026,2,448.52
1895C6B2-D91,C091EAEC,PROD-0025,2,210.69,2025-06-24 19:48:57,completed,421.38,Maria Pimenta,SP,Esportes,0.4903,2025,6,206.6
44CEE380-448,07AE845B,PROD-0036,4,28.2,2025-10-28 03:14:46,completed,112.8,Davi Lucas Fogaça,BA,Esportes,0.3468,2025,10,39.12
71C04E36-BB4,42AC423A,PROD-0065,3,452.86,2025-07-07 20:37:50,cancelled,1358.58,Dr. Joaquim Da Luz,SP,Casa & Jardim,0.2586,2025,7,351.33
00BCCA1B-6A5,E3798ACC,PROD-0039,4,676.96,2025-07-13 04:02:01,completed,2707.84,Isaque Jesus,RJ,Esportes,0.436,2025,7,1180.62
7D44C836-0F5,F8421EB1,PROD-0058,3,315.01,2025-07-18 00:36:15,shipped,945.03,Luiz Felipe Pinto,PE,Esportes,0.3241,2025,7,306.28
90D43E2F-0E8,8306BB4A,PROD-0098,3,188.74,2025-11-27 23:01:43,completed,566.22,Sr. Matheus Monteiro,RJ,Roupas,0.4285,2025,11,242.63
E37A3C3C-99C,E03DA8B9,PROD-0090,2,493.21,2025-06-01 12:08:26,pending,986.42,Maria Helena Novais,RS,Eletrônicos,0.3581,2025,6,353.24
A162EFC3-0B8,078C89ED,PROD-0006,4,772.55,2025-10-27 06:17:25,pending,3090.2,Ana Liz Mendes,BA,Esportes,0.5011,2025,10,1548.5
A3ADFBB1-210,8936B041,PROD-0085,2,99.54,2026-01-18 17:41:02,pending,199.08,Luísa Costela,RS,Esportes,0.3218,2026,1,64.06
D7BB492B-440,E7D527F6,PROD-0005,5,65.22,2025-12-17 21:55:07,completed,326.1,Anna Liz Machado,GO,Esportes,0.5725,2025,12,186.69
82C6BE26-78F,21898D9A,PROD-0013,1,1196.83,2026-02-23 17:52:57,shipped,1196.83,Sr. Otávio Cavalcante,SC,Livros,0.6644,2026,2,795.17
84F47B33-0DD,7A094541,PROD-0020,3,73.64,2025-08-31 14:25:20,completed,220.92,Bárbara Sales,MG,Casa & Jardim,0.4113,2025,8,90.86
4BB172C6-CB0,50AB16CB,PROD-0080,1,1130.47,2025-05-19 00:25:32,completed,1130.47,Lavínia Sá,RJ,Livros,0.5679,2025,5,641.99
54DCD69A-1E4,C514DAA4,PROD-0087,3,656.01,2025-12-31 05:58:44,cancelled,1968.03,Allana Monteiro,CE,Roupas,0.66,2025,12,1298.9
2A3DBCA6-DA1,225E3D33,PROD-0092,5,332.35,2026-02-19 16:42:26,completed,1661.75,Caleb Melo,SP,Livros,0.6153,2026,2,1022.47
BBA14202-D1D,59B761A6,PROD-0080,3,1130.47,2025-06-10 14:22:07,completed,3391.41,Srta. Elisa Santos,CE,Livros,0.5679,2025,6,1925.98
0D07B619-3B6,AD0D6FCD,PROD-0096,1,219.0,2025-04-30 20:06:05,pending,219.0,Enzo Viana,BA,Livros,0.2869,2025,4,62.83
2B9C6FAD-BCC,5BC9B1A1,PROD-0022,1,197.53,2025-12-08 17:39:07,completed,197.53,Hellena Pacheco,SC,Esportes,0.5967,2025,12,117.87
7B70EEA3-C7E,FA6C5C0C,PROD-0042,3,51.75,2025-06-19 06:03:19,completed,155.25,Olivia Garcia,MG,Casa & Jardim,0.4052,2025,6,62.91
1020141D-AA5,72EEF5E6,PROD-0056,4,428.84,2025-05-22 02:45:54,shipped,1715.36,Júlia Camargo,MG,Esportes,0.5876,2025,5,1007.95
84C88197-99C,0D4534D8,PROD-0088,2,194.18,2025-07-02 11:01:25,completed,388.36,Yuri Nascimento,SC,Esportes,0.3306,2025,7,128.39
913A685D-E15,13633731,PROD-0079,2,938.31,2025-10-10 02:17:54,pending,1876.62,Erick Campos,GO,Casa & Jardim,0.605,2025,10,1135.36
CFDD7342-87A,ECEDFFFA,PROD-0075,3,326.21,2025-11-20 01:16:11,pending,978.63,Yasmin Mendonça,RS,Livros,0.463,2025,11,453.11
5E806506-4BE,DD6B9997,PROD-0033,4,1091.76,2025-09-04 22:18:43,completed,4367.04,Rodrigo Freitas,RS,Roupas,0.6335,2025,9,2766.52
10089A2E-DA3,C13436C7,PROD-0087,4,656.01,2026-01-27 01:07:02,completed,2624.04,Carolina Porto,SC,Roupas,0.66,2026,1,1731.87
5CFA6039-7AB,B4FC1C9C,PROD-0076,4,642.74,2026-01-30 03:11:11,cancelled,2570.96,Marcos Vinicius Nunes,CE,Casa & Jardim,0.4509,2026,1,1159.25
D6373855-CB1,4EBDA15F,PROD-0033,2,1091.76,2025-11-28 00:55:29,pending,2183.52,Sra. Letícia Carvalho,CE,Roupas,0.6335,2025,11,1383.26
9CC59854-485,05058BDB,PROD-0062,5,412.92,2025-07-17 19:11:39,completed,2064.6,Manuela Nascimento,PE,Livros,0.4306,2025,7,889.02
6979DAD8-1B8,C05E46C7,PROD-0074,3,656.29,2025-06-01 20:50:31,completed,1968.87,Dante Ramos,BA,Esportes,0.5537,2025,6,1090.16
A43AEF6C-DBF,9A4FB91A,PROD-0085,5,99.54,2025-04-20 20:12:33,cancelled,497.7,Srta. Luísa Costela,RS,Esportes,0.3218,2025,4,160.16
D69AD2C2-AB9,0D203B8E,PROD-0100,5,84.09,2025-06-04 20:49:11,cancelled,420.45,Ana Oliveira,CE,Eletrônicos,0.4986,2025,6,209.64
1766EE84-988,5BC9B1A1,PROD-0064,3,517.61,2026-03-03 18:56:35,completed,1552.83,Hellena Pacheco,SC,Esportes,0.5592,2026,3,868.34
86189B24-6F3,3B535049,PROD-0078,2,605.92,2025-07-22 11:12:06,shipped,1211.84,Vicente Cavalcanti,GO,Roupas,0.3849,2025,7,466.44
0789B304-24F,B7101B5F,PROD-0033,2,1091.76,2025-04-12 06:05:33,cancelled,2183.52,Luiz Henrique Da Costa,MG,Roupas,0.6335,2025,4,1383.26
CA30CB29-CB4,16D51E44,PROD-0013,1,1196.83,2025-08-30 10:53:42,completed,1196.83,Bento Fonseca,MG,Livros,0.6644,2025,8,795.17
906F0CE0-D0A,6E37A182,PROD-0057,2,51.71,2026-01-12 13:11:50,completed,103.42,Ana Carolina Pastor,PE,Casa & Jardim,0.2433,2026,1,25.16
98A77D08-305,E6E16F57,PROD-0038,2,309.97,2025-12-03 18:29:04,completed,619.94,Lucas Da Paz,PE,Esportes,0.4611,2025,12,285.85
9FE554E9-1C4,7AAA6622,PROD-0017,3,770.52,2025-11-19 18:13:15,shipped,2311.56,Sr. Eduardo Leão,CE,Esportes,0.5158,2025,11,1192.3
7B7B4C25-6FD,2C57A2E4,PROD-0065,2,452.86,2025-08-02 02:42:01,completed,905.72,Guilherme Nogueira,SC,Casa & Jardim,0.2586,2025,8,234.22
FBF756F2-106,0673D70C,PROD-0062,3,412.92,2025-05-01 07:59:25,completed,1238.76,Sra. Maria Sophia Cardoso,PE,Livros,0.4306,2025,5,533.41
B18BACF3-71D,479B590F,PROD-0060,2,648.76,2026-03-17 10:27:18,cancelled,1297.52,Srta. Isis Duarte,CE,Livros,0.66,2026,3,856.36
0A7592E0-AFE,FFCC8D88,PROD-0093,5,513.74,2025-09-27 13:58:06,completed,2568.7,Vicente Sampaio,RJ,Livros,0.4061,2025,9,1043.15
0DEBFF50-F33,9117EBD0,PROD-0012,3,583.19,2026-01-28 23:50:56,shipped,1749.57,Alícia Das Neves,PE,Eletrônicos,0.5183,2026,1,906.8
B4A4361D-CFD,71422632,PROD-0016,3,1282.35,2025-08-06 01:43:18,shipped,3847.05,Dra. Letícia Das Neves,BA,Esportes,0.646,2025,8,2485.19
F5A9310F-D30,70001B89,PROD-0049,3,1060.14,2025-09-17 11:11:18,completed,3180.42,Levi Araújo,CE,Roupas,0.6599,2025,9,2098.76
4F1144DC-C7D,CD097C3F,PROD-0087,5,656.01,2025-06-09 21:48:48,shipped,3280.05,Ágatha Almeida,SP,Roupas,0.66,2025,6,2164.83
58C77CF3-6B9,FF0A5A5B,PROD-0042,1,51.75,2025-08-29 01:53:21,cancelled,51.75,Dra. Alexia Gomes,RJ,Casa & Jardim,0.4052,2025,8,20.97
8EFB6CA5-0B7,4EBDA15F,PROD-0060,4,648.76,2026-01-08 01:39:26,completed,2595.04,Sra. Letícia Carvalho,CE,Livros,0.66,2026,1,1712.73
D655393B-E48,CE997F71,PROD-0018,3,981.25,2025-11-22 10:44:26,pending,2943.75,Sr. Pedro Lucas Santos,PE,Casa & Jardim,0.6157,2025,11,1812.47
FD215436-CA4,A2DB22E0,PROD-0015,5,731.27,2025-08-26 06:33:12,completed,3656.35,Sr. Ravi Lucca Ferreira,BA,Livros,0.5063,2025,8,1851.21
51DD3A49-871,5D241861,PROD-0050,5,168.46,2025-04-13 03:07:15,pending,842.3,Henry Da Cunha,PE,Eletrônicos,0.6527,2025,4,549.77
7F89C05A-FD2,CBD7F2E8,PROD-0076,4,642.74,2025-11-13 17:22:25,cancelled,2570.96,Srta. Isabela Monteiro,BA,Casa & Jardim,0.4509,2025,11,1159.25
C66CFAEF-BAD,77E7698F,PROD-0013,4,1196.83,2025-09-30 14:08:24,completed,4787.32,Augusto Vieira,MG,Livros,0.6644,2025,9,3180.7
A3373315-62B,BBBD4420,PROD-0005,4,65.22,2025-12-24 15:03:20,pending,260.88,Luiz Fernando Da Luz,PE,Esportes,0.5725,2025,12,149.35
0A6AB804-068,AD0D6FCD,PROD-0031,3,503.43,2025-06-02 22:29:02,shipped,1510.29,Enzo Viana,BA,Casa & Jardim,0.51,2025,6,770.25
136D049C-179,FFCC8D88,PROD-0083,3,371.07,2025-05-18 19:50:51,completed,1113.21,Vicente Sampaio,RJ,Casa & Jardim,0.274,2025,5,305.02
CF585556-BFA,CA6D5694,PROD-0016,4,1282.35,2025-08-23 00:07:17,completed,5129.4,Sr. Gael Henrique Ramos,RS,Esportes,0.646,2025,8,3313.59
1419B70A-592,50016162,PROD-0085,5,99.54,2025-06-10 08:47:57,completed,497.7,Alana Mendonça,RS,Esportes,0.3218,2025,6,160.16
E830B320-F2A,3C82421F,PROD-0007,2,798.54,2025-07-27 06:44:07,shipped,1597.08,Maria Vitória Leão,GO,Roupas,0.6034,2025,7,963.68
96C2DC21-49E,6ACE189D,PROD-0027,5,810.51,2025-10-21 04:58:33,completed,4052.55,Théo Viana,SP,Esportes,0.5263,2025,10,2132.86
09D249B0-361,0C438C17,PROD-0076,2,642.74,2025-09-15 00:09:10,completed,1285.48,Ana Cecília Novaes,PR,Casa & Jardim,0.4509,2025,9,579.62
E2F2CBD7-48C,2106D078,PROD-0100,5,84.09,2025-09-26 10:46:22,completed,420.45,Asafe Melo,PR,Eletrônicos,0.4986,2025,9,209.64
6A5EB08C-D7D,1F062BEC,PROD-0036,2,28.2,2025-09-04 13:42:35,shipped,56.4,Gabriela Guerra,PE,Esportes,0.3468,2025,9,19.56
83A01FE1-6AD,5682934F,PROD-0033,1,1091.76,2025-05-05 08:52:48,completed,1091.76,Dr. Théo Sales,SP,Roupas,0.6335,2025,5,691.63
995042B4-B04,A8D98802,PROD-0002,2,272.0,2026-03-25 00:21:47,shipped,544.0,Anna Liz Casa Grande,MG,Livros,0.4652,2026,3,253.07
23DC1AC4-871,0778F2B1,PROD-0095,1,453.99,2025-12-25 07:33:43,pending,453.99,Ana Sophia Sá,BA,Livros,0.6648,2025,12,301.81
55BBD55F-A84,1EFF8251,PROD-0058,5,315.01,2026-02-02 17:54:17,completed,1575.05,Mateus Montenegro,SC,Esportes,0.3241,2026,2,510.47
422DD1E3-BE7,C877E5C0,PROD-0058,5,315.01,2025-11-09 21:58:04,completed,1575.05,Joana Leão,SC,Esportes,0.3241,2025,11,510.47
D1DD6E0A-903,9CBFB2BE,PROD-0094,5,750.0,2025-04-23 17:41:19,completed,3750.0,Srta. Bella Porto,CE,Esportes,0.6484,2025,4,2431.5
821D8185-50B,2B7A9377,PROD-0059,1,1202.64,2026-02-10 02:52:19,pending,1202.64,Luna Da Conceição,RS,Esportes,0.6004,2026,2,722.07
8F3A1A48-42C,128DD958,PROD-0052,4,827.9,2025-10-15 23:02:19,cancelled,3311.6,Valentim Pacheco,RJ,Eletrônicos,0.5665,2025,10,1876.02
A24EF114-6B0,9EB077C1,PROD-0057,3,51.71,2026-02-19 19:27:49,shipped,155.13,Isadora Santos,CE,Casa & Jardim,0.2433,2026,2,37.74
FAA33A29-5B0,4CD45ACB,PROD-0019,5,464.74,2025-10-13 05:53:55,cancelled,2323.7,Maitê Novais,PE,Roupas,0.434,2025,10,1008.49
794871EE-4B4,226E032A,PROD-0075,4,326.21,2025-11-19 05:46:59,shipped,1304.84,Dom Lopes,RJ,Livros,0.463,2025,11,604.14
